tier	class	file	line	op	reason	src
T2-v1-domain	fits	lib/server/food.js	159	deleteOne	maps onto the existing api3 storage interface	return api().deleteOne({ '_id': objId });
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	38	insertMany	batch insert	const result = await api().insertMany(docs);
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	79	replaceOne	upsert semantics must be explicit in the interface	await api().replaceOne({ _id: obj._id }, obj, { upsert: true });
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	90	find	cursor chaining — must become findMany args	return api().find({ }).limit(limit).sort(profileSort).toArray();
T2-v1-domain	must-change	lib/server/profile.js	110	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	140	find	cursor chaining — must become findMany args	return api().find().sort(profileSort).limit(1).toArray();
T2-v1-domain	fits	lib/server/profile.js	147	deleteOne	maps onto the existing api3 storage interface	return api().deleteOne({ '_id': objId });
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	157	find	projection — findMany already takes one, caller must stop chaining	.find({}, { projection: { _id: 1, startDate: 1 } })
T2-v1-domain	needs-escape-hatch	lib/server/profile.js	169	deleteMany	delete by filter (non-query_for callers)	var stat = await api().deleteMany(pruneFilter);
T2-v1-domain	needs-escape-hatch	lib/server/treatments.js	91	bulkWrite	batch upsert — Postgres INSERT ... ON CONFLICT	bulkResult = await api().bulkWrite(bulkOps, { ordered: true });
T2-v1-domain	must-change	lib/server/treatments.js	114	find	literal Mongo filter document in domain code	var existing = await api().find({ identifier: { $in: identifiers } }).toArray();
T2-v1-domain	needs-escape-hatch	lib/server/treatments.js	162	replaceOne	upsert semantics must be explicit in the interface	var updateResults = await api().replaceOne(query, obj, {upsert: true});
T2-v1-domain	fits	lib/server/treatments.js	170	findOne	maps onto the existing api3 storage interface	var existing = await api().findOne(query);
T2-v1-domain	needs-escape-hatch	lib/server/treatments.js	207	replaceOne	upsert semantics must be explicit in the interface	updateResults = await api().replaceOne(pbQuery, pbTreat, {upsert: true});
T2-v1-domain	must-change	lib/server/treatments.js	251	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	must-change	lib/server/treatments.js	276	deleteMany	delete by Mongo query document — same filter problem	var stat = await api().deleteMany(query_for(opts), {});
T2-v1-domain	needs-escape-hatch	lib/server/treatments.js	307	replaceOne	upsert semantics must be explicit in the interface	var updateResults = await api().replaceOne(query, obj, {upsert: true});
T2-v1-domain	fits	lib/server/treatments.js	314	findOne	maps onto the existing api3 storage interface	var existing = await api().findOne(query);
T3-factory	needs-escape-hatch	lib/storage/mongo-storage.js	216	createIndex	schema management — becomes migrations on Postgres	collection.createIndex(field).catch(function (err) {
T3-socket-write-path	must-change	lib/server/websocket.js	358	updateOne	Mongo update operators — needs an explicit patch contract (jsonb_set / - key)	await mongoCollection.updateOne({ '_id': id }, { $set: data.data });
T3-socket-write-path	fits	lib/server/websocket.js	366	findOne	maps onto the existing api3 storage interface	var results = await mongoCollection.findOne({ '_id': id });
T3-socket-write-path	must-change	lib/server/websocket.js	411	updateOne	Mongo update operators — needs an explicit patch contract (jsonb_set / - key)	await mongoCollection.updateOne({ '_id': objId }, { $unset: data.data });
T3-socket-write-path	fits	lib/server/websocket.js	419	findOne	maps onto the existing api3 storage interface	var results = await mongoCollection.findOne({ '_id': objId });
T3-socket-write-path	fits	lib/server/websocket.js	528	findOne	maps onto the existing api3 storage interface	var exactTreatment = await mongoCollection.findOne(query);
T3-socket-write-path	fits	lib/server/websocket.js	572	findOne	maps onto the existing api3 storage interface	var similar = await mongoCollection.findOne(query_similiar);
T3-socket-write-path	must-change	lib/server/websocket.js	578	updateOne	Mongo update operators — needs an explicit patch contract (jsonb_set / - key)	await mongoCollection.updateOne({ '_id': objId }, { $set: { created_at: data.data.created_at } });
T3-socket-write-path	fits	lib/server/websocket.js	590	insertOne	maps onto the existing api3 storage interface	var insertResult = await mongoCollection.insertOne(data.data);
T3-socket-write-path	fits	lib/server/websocket.js	622	findOne	maps onto the existing api3 storage interface	var existingStatus = await mongoCollection.findOne(queryDev);
T3-socket-write-path	fits	lib/server/websocket.js	633	insertOne	maps onto the existing api3 storage interface	var devicestatusInsertResult = await mongoCollection.insertOne(data.data);
T3-socket-write-path	fits	lib/server/websocket.js	663	findOne	maps onto the existing api3 storage interface	var existingProfile = await mongoCollection.findOne(profileQuery);
T3-socket-write-path	fits	lib/server/websocket.js	668	replaceOne	maps onto the existing api3 storage interface	await mongoCollection.replaceOne({ _id: existingProfile._id }, replacementDoc);
T3-socket-write-path	fits	lib/server/websocket.js	686	insertOne	maps onto the existing api3 storage interface	var profileInsertResult = await mongoCollection.insertOne(data.data);
T3-socket-write-path	fits	lib/server/websocket.js	707	insertOne	maps onto the existing api3 storage interface	var genericInsertResult = await mongoCollection.insertOne(data.data);
T3-socket-write-path	must-change	lib/server/websocket.js	749	deleteOne	raw collection handle — the §2.5 leak itself	stat = await ctx.store.collection(collection).deleteOne({ '_id': objId });
